path,tensor_name,timestep,saliency_mass,l2,l1,max,mean,var
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,773,0.00045764446,1.2573613e-05,0.00045764446,4.053116e-06,2.7932401e-08,8.869722e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,921,0.00383991,4.709759e-05,0.00383991,6.4969063e-06,2.3436951e-07,8.046299e-14
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,300,0.0,0.0,0.0,0.0,0.0,0.0
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,985,0.008765876,9.2538874e-05,0.008765876,3.8146973e-06,5.3502663e-07,2.3643205e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,838,0.0006942153,1.0064364e-05,0.0006942153,1.1920929e-06,4.237154e-08,4.387258e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,979,0.0042731166,5.011404e-05,0.0042731166,3.3974648e-06,2.6081034e-07,8.526789e-14
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,656,8.326769e-05,2.2688944e-06,8.326769e-05,1.7881393e-07,5.0822564e-09,2.8839005e-16
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,787,0.0004273653,7.2659013e-06,0.0004273653,5.364418e-07,2.6084308e-08,2.5420128e-15
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,522,1.180172e-05,8.596304e-07,1.180172e-05,1.1920929e-07,7.203198e-10,4.458667e-17
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,571,2.5808811e-05,1.2516975e-06,2.5808811e-05,1.1920929e-07,1.5752448e-09,9.315092e-17
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,938,0.0056812763,6.392231e-05,0.0056812763,3.3378597e-06,3.467576e-07,1.2916045e-13
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,547,1.8239021e-05,1.0460573e-06,1.8239021e-05,1.1920929e-07,1.1132215e-09,6.5551595e-17
20251002_010708_dataset-03_-.*_A_puppeteer_animating_five_marionettes_simultaneou_23,x_grad_t,216,0.0,0.0,0.0,0.0,0.0,0.0
